research_order,tier,season,team_id,starting_status,ending_status,candidate_names,intervals,evidence_codes,provisional_gap,statistical_value,disposition,research_notes
1,highly_recoverable,2021,IND,provisional,verified,Frank Reich,coach-frank-reich~Frank Reich~1~18~verified~false,ind21,none,future_qp_and_prior_history,accepted,Cumulative midseason and late-season official evidence establishes the full interval
2,highly_recoverable,2021,DEN,provisional,verified,Pat Shurmur + Mike Shula,coach-pat-shurmur~Pat Shurmur~1~9~verified~false;coach-mike-shula~Mike Shula~10~10~verified~false;coach-pat-shurmur~Pat Shurmur~11~18~verified~false,den21,none,future_qp,accepted,The Week 10 COVID exception bounds Shurmur before and after the one-game Shula interval
3,highly_recoverable,2022,NO,provisional,verified,Pete Carmichael Jr,coach-pete-carmichael-jr~Pete Carmichael Jr~1~18~verified~false,no22,none,future_qp_and_prior_history,accepted,A strong NFL retrospective explicitly covers the full 2022 season
4,highly_recoverable,2020,IND,provisional,verified,Frank Reich,coach-frank-reich~Frank Reich~1~17~verified~false,ind20,none,prior_history_for_future,accepted,Preseason and midseason first-person evidence establishes Reich in the continuing role
5,highly_recoverable,2022,TEN,provisional,verified,Todd Downing,coach-todd-downing~Todd Downing~1~18~verified~false,ten22,none,future_qp_and_prior_history,accepted,Official early and late material identifies Downing as caller
6,highly_recoverable,2021,LV,provisional,verified,Jon Gruden + Greg Olson,coach-jon-gruden~Jon Gruden~1~5~verified~false;coach-greg-olson~Greg Olson~6~18~verified~false,lv21,none,future_qp,accepted,The resignation and Week 6 handoff establish exact season intervals
7,highly_recoverable,2022,NYJ,provisional,verified,Mike LaFleur,coach-mike-lafleur~Mike LaFleur~1~18~verified~false,nyj22,none,future_qp,accepted,Official in-season evidence plus NFL tenure retrospective supports the full season
8,highly_recoverable,2021,PHI,provisional,provisional,Nick Sirianni + Shane Steichen,,phi21,exact_transition_week,future_qp,rejected_full_verification,The source says midway but cannot support an exact weekly split
9,highly_recoverable,2021,NYG,provisional,verified,Jason Garrett + Freddie Kitchens,coach-jason-garrett~Jason Garrett~1~11~verified~false;coach-freddie-kitchens~Freddie Kitchens~12~18~verified~false,nyg21,none,future_qp,accepted,Official dismissal and handoff reports establish the Week 12 transition
10,highly_recoverable,2021,NYJ,provisional,verified,Mike LaFleur,coach-mike-lafleur~Mike LaFleur~1~18~verified~false,nyj21,none,future_qp,accepted,The season-end retrospective explicitly describes his development as caller throughout 2021
11,highly_recoverable,2020,LV,provisional,provisional,Jon Gruden,,lv20,late_season_continuity,prior_history_for_future,rejected_full_verification,A preseason designation alone cannot prove a full season
12,highly_recoverable,2020,PIT,provisional,verified,Randy Fichtner,coach-randy-fichtner~Randy Fichtner~1~17~verified~false,pit20,none,prior_history_for_future,accepted,Official midseason and final-week material consistently identifies Fichtner as caller
13,highly_recoverable,2022,HOU,provisional,verified,Pep Hamilton,coach-pep-hamilton~Pep Hamilton~1~18~verified~false,hou22,none,future_qp,accepted,Hamilton answers direct caller questions in early and late official transcripts
14,highly_recoverable,2020,MIA,provisional,verified,Chan Gailey,coach-chan-gailey~Chan Gailey~1~17~verified~false,mia20,none,prior_history_for_future,accepted,Official opening and season-retrospective material identifies Gailey as caller
15,highly_recoverable,2022,NE,provisional,provisional,Matt Patricia,,ne22,exclusive_responsibility,future_qp,rejected_full_verification,Contemporaneous official evidence does not resolve whether Patricia had exclusive responsibility
16,highly_recoverable,2020,NYG,provisional,verified,Jason Garrett + Freddie Kitchens,coach-jason-garrett~Jason Garrett~1~14~verified~false;coach-freddie-kitchens~Freddie Kitchens~15~15~verified~false;coach-jason-garrett~Jason Garrett~16~17~verified~false,nyg20,none,prior_history_for_future,accepted,Official designation exception and return reports establish the one-game Week 15 change
17,highly_recoverable,2022,CAR,provisional,verified,Ben McAdoo,coach-ben-mcadoo~Ben McAdoo~1~18~verified~false,car22,none,future_qp,accepted,Official Week 1 and Week 16 coverage explicitly identifies McAdoo as caller
18,highly_recoverable,2017,NYG,provisional,partial,Ben McAdoo + Mike Sullivan,coach-ben-mcadoo~Ben McAdoo~1~5~verified~false;coach-mike-sullivan~Mike Sullivan~6~10~verified~false,espn17,weeks_11_17,prior_history_for_future,accepted_bounded_only,The all-team report establishes the transition through Week 10 only
